pop,years,Ne
Africa,244.56166834524464,25784.472702968495
Africa,246.82684522556926,25668.95254083211
Africa,249.11300260677885,25611.282219858404
Africa,251.42033481427967,25495.770770927396
Africa,253.7490379733572,25433.902317134503
Africa,256.0993100258459,25399.9936058296
Africa,258.4713507469564,25300.164392647315
Africa,260.8653617622548,25370.598341716857
Africa,263.281546564802,25370.598341716857
Africa,265.7201105324507,25399.9936058296
Africa,268.1812609453015,25423.4036586667
Africa,270.6652070033241,25420.927656340664
Africa,273.1721598441376,25370.598341716857
Africa,275.7023325609582,25226.8329910242
Africa,278.25594022071255,25099.465186731188
Africa,280.8331998823173,24971.591126083593
Africa,283.43433061513093,25226.8329910242
Africa,286.0595535175742,25226.8329910242
Africa,288.7090917359235,25243.065164417436
Africa,291.3831704832789,25300.164392647315
Africa,294.08201705870636,25370.598341716857
Africa,296.8058608665602,25473.087745628898
Africa,299.5549334359813,26007.675615833494
Africa,302.3294684405776,26333.582140686307
Africa,305.1297017182871,26481.856665209067
Africa,307.9558712914226,26616.939105732734
Africa,310.8082173869064,26616.939105732734
Africa,313.68698245668764,27654.073457821338
Africa,316.59241119835207,28141.230428120558
Africa,319.52475057592136,28661.92008811126
Africa,322.4842498408442,28895.70190276228
Africa,325.4711605531848,28787.60292828516
Africa,328.48573660300434,29390.705734475552
Africa,331.5282342319423,29885.745810767927
Africa,334.59891205499747,30116.797242076787
Africa,337.69803108250915,30031.14714518899
Africa,340.8258547423452,30116.797242076787
Africa,343.98264890229245,30116.797242076787
Africa,347.1686818926559,30322.093250683556
Africa,350.3842245290676,30331.031333758183
Africa,353.62955013550425,30465.381954859295
Africa,356.90493456752296,30742.011209734395
Africa,360.210656235707,30851.371876780417
Africa,363.54699612933183,30569.493484720926
Africa,366.9142378402494,30869.44752842759
Africa,370.31266758699275,30893.327513113945
Africa,373.74257423910643,30893.327513113945
Africa,377.2042493416998,30851.371876780417
Africa,380.6979871402284,30893.327513113945
Africa,384.2240846055061,30893.327513113945
Africa,387.78284145894577,30983.52505026705
Africa,391.3745601980384,30938.266155807607
Africa,394.99954612206426,30914.711724965215
Africa,398.6581073580439,30938.266155807607
Africa,402.3505548869293,30930.58428692871
Africa,406.0772025700365,30938.266155807607
Africa,409.8383671757261,30983.52505026705
Africa,413.6343684063273,30902.0301347361
Africa,417.46552892531344,30744.22849805424
Africa,421.3321743847289,30641.745088198142
Africa,425.2346334528682,30350.54569177342
Africa,429.1732378422157,30322.093250683556
Africa,433.1483223376398,29885.745810767927
Africa,437.1602248248502,29749.841693912895
Africa,441.209286319119,29568.998802186186
Africa,445.2958509942655,29242.782543995694
Africa,449.42026621191417,28677.707467305238
Africa,453.5828825510186,28078.53081521047
Africa,457.78405383766165,27776.240522810076
Africa,462.0241371751313,27323.00261541208
Africa,466.3034929742731,26701.53387009852
Africa,470.6224849841281,26199.54949026903
Africa,474.98148032284996,25979.49950793394
Africa,479.38084950891067,25415.41318404427
Africa,483.8209664925957,25032.282007725124
Africa,488.302208687788,24722.85748187229
Africa,492.8249570040514,24513.266187430425
Africa,497.38959587900627,24088.667922102646
Africa,501.99651331100796,23598.446973350146
Africa,506.64610089212687,23186.732315229838
Africa,511.3387538414326,23136.46353279739
Africa,516.0748710385908,23094.32978659898
Africa,520.854855057766,22676.925600109535
Africa,525.6791122018419,22189.95343826548
Africa,530.5480525369574,21920.339468796563
Africa,535.4620899273607,21717.176122828132
Africa,540.4216420705915,21572.55684110916
Africa,545.4271305329836,21624.62963101566
Africa,550.4789807854967,21572.55684110916
Africa,555.5776222398878,21416.077974738095
Africa,560.7234882852033,21231.91045148706
Africa,565.9170163246242,21193.55507843894
Africa,571.1586478126435,21061.860329569998
Africa,576.4488282925873,21008.9402617569
Africa,581.7880074344936,20979.132321683937
Africa,587.1766390733255,20897.528600257097
Africa,592.6151812475553,20721.90945412423
Africa,598.1040962380944,20681.28639637013
Africa,603.6438506075863,20652.350240420623
Africa,609.2349152400711,20580.689636887793
Africa,614.8777653810023,20402.233820963345
Africa,620.57288067765,20327.485063042135
Africa,626.3207452198692,20318.719834485877
Africa,632.1218475812448,20248.886212933787
Africa,637.9766808606282,20216.216520475056
Africa,643.885742724042,20216.216520475056
Africa,649.8495354469889,20026.59456016511
Africa,655.8685659571435,19840.267685254985
Africa,661.9433458774395,19623.44218129156
Africa,668.0743915695615,19486.92381316144
Africa,674.2622241778341,19434.132308408123
Africa,680.5073696735207,19397.58170594833
Africa,686.8103588995307,19283.942441376246
Africa,693.1717276155407,18973.398033916226
Africa,699.5920165435374,18885.986677797555
Africa,706.0717714137772,18694.225439698865
Africa,712.6115430111745,18604.87498943714
Africa,719.2118872221192,18470.39867683618
Africa,725.8733650817254,18084.02237720263
Africa,732.596542821523,17861.828213988636
Africa,739.3819919175867,17643.918447035314
Africa,746.2302891391108,17448.644193787663
Africa,753.1420165974376,17106.76413074474
Africa,760.117761795533,16859.084152388063
Africa,767.1581176779302,16762.050197681197
Africa,774.263682681127,16641.959355919535
Africa,781.4350607844542,16548.42549768132
Africa,788.6728615614156,16444.062212715726
Africa,795.9777002314985,16035.948812063427
Africa,803.3501977124735,15861.599236896267
Africa,810.7909806731686,15827.245973000507
Africa,818.3006815867388,15810.836808605449
Africa,825.8799387844272,15789.875706964564
Africa,833.5293965098195,15717.648296122776
Africa,841.2497049736118,15653.245385028255
Africa,849.0415204088747,15565.332430043703
Africa,856.9055051268347,15508.367960471776
Africa,864.8423275731726,15473.264451177422
Africa,872.8526623848379,15416.234239858513
Africa,880.9371904473991,15391.798040252997
Africa,889.0965989529158,15376.122194188822
Africa,897.3315814583519,15376.122194188822
Africa,905.6428379445294,15319.31774382648
Africa,914.0310748756232,15224.926575679128
Africa,922.4970052592174,15277.700119210767
Africa,931.0413487069075,15195.256048107185
Africa,939.664831495469,15147.68784515893
Africa,948.3681866285928,15147.68784515893
Africa,957.1521538991865,15142.62868934571
Africa,966.0174799522646,15132.474789943031
Africa,974.9649183484086,15123.60754401693
Africa,983.9952296278227,15123.60754401693
Africa,993.1091813749802,15081.938763895343
Africa,1002.3075482838655,15103.669886469233
Africa,1011.5911122238298,15077.513780521904
Africa,1020.9606623060466,15077.513780521904
Africa,1030.4169949505874,15123.60754401693
Africa,1039.9609139541203,14962.69801909553
Africa,1049.5932305582278,14933.765298577982
Africa,1059.31476351837,14915.852034517611
Africa,1069.126339173476,14919.640943381095
Africa,1079.0287915161834,15028.733722610425
Africa,1089.0229622637305,14933.765298577982
Africa,1099.1097009294972,14906.545298612436
Africa,1109.2898648952228,14906.545298612436
Africa,1119.5643194838783,14868.689664404888
Africa,1129.9339380332217,14915.852034517611
Africa,1140.399601970033,14912.576701398291
Africa,1150.9622008850324,14813.110139624789
Africa,1161.6226326085018,14823.236810917473
Africa,1172.3818032865984,15028.733722610425
Africa,1183.240627458378,15107.401929930991
Africa,1194.2000281335324,15308.92222227872
Africa,1205.2609368708424,15345.872652174821
Africa,1216.424293857368,15539.954069913569
Africa,1227.691047988359,15539.954069913569
Africa,1239.0621569479156,15679.995217894324
Africa,1250.5385872903914,15738.885363482124
Africa,1262.1213145225472,15801.87630812575
Africa,1273.8113231864784,15824.622328393289
Africa,1285.6096069432965,15835.600163218562
Africa,1297.5171686575868,15894.394796577268
Africa,1309.5350204826677,15894.394796577268
Africa,1321.6641839466051,15894.394796577268
Africa,1333.9056900390588,15928.452205269163
Africa,1346.260579298911,15917.38424216379
Africa,1358.7299019027091,15879.740772047302
Africa,1371.3147177539456,15822.819537320232
Africa,1384.0160965731316,15824.826132019858
Africa,1396.8351179887397,15850.57367161697
Africa,1409.7728716289676,15826.782668494281
Africa,1422.8304572143518,15879.740772047302
Africa,1436.0089846512606,15879.740772047302
Africa,1449.3095741262166,15850.57367161697
Africa,1462.73335620113,15824.826132019858
Africa,1476.281471909391,15824.826132019858
Africa,1489.9550728528538,15850.57367161697
Africa,1503.7553212997384,15879.740772047302
Africa,1517.6833902834053,15850.57367161697
Africa,1531.7404637020798,15912.275049339514
Africa,1545.9277364194786,15912.275049339514
Africa,1560.246414366368,15912.275049339514
Africa,1574.6977146430868,15824.826132019858
Africa,1589.2828656229779,15833.822745184678
Africa,1604.0031070568198,15822.844222506264
Africa,1618.8596901781991,15822.844222506264
Africa,1633.8538778098603,15822.844222506264
Africa,1648.9869444710648,15822.844222506264
Africa,1664.2601764859035,15769.14422396123
Africa,1679.674872092653,15755.171787870824
Africa,1695.2323415541214,15736.840245545853
Africa,1710.9339072690134,15708.261511730072
Africa,1726.780903884356,15664.289529507312
Africa,1742.774678408919,15623.559594181643
Africa,1758.9165903277326,15460.813002452283
Africa,1775.2080117176358,15460.813002452283
Africa,1791.6503273638994,15377.589893273991
Africa,1808.2449348779517,15313.787880698404
Africa,1824.9932448161524,15184.962392523601
